OTU,Mean_T
OTU_100 Acetatifactor muris 0.95,1.776421151
OTU_11 Clostridium saccharolyticum/aerotolerans 0.96,0.468479071
OTU_112 Desulfovibrio arcticus 0.91,0.84594903
OTU_115 Anaerotruncus colihominis/Clostridium methylpentosum 0.92,0.664601786
OTU_159 Muricomes intestini 0.98,0.052574312
OTU_167 Acetatifactor muris 0.94,0.927156881
OTU_187 Intestinimonas butyriciproducens/Clostridium viride  0.96,0.040410571
OTU_193 Clostridium asparagiforme 0.97,0.078635107
OTU_207 Eisenbergiella massiliensis 0.98,0
OTU_208 Acetatifactor muris 0.91,0.069902137
OTU_24 Clostridium scindens 0.99,0.033367642
OTU_30 Lachnoclostridium pacaense 0.96,0.052712108
OTU_38 Clostridium indolis 0.9,0
OTU_53 Clostridium indolis 0.91,0.080821143
OTU_58 Butyricicoccus pullicaecorum 0.95,0.0565748
OTU_62 Clostridium asparagiforme 0.94,1.151389605
OTU_65 Muribaculum intestinale 0.9,0
OTU_66 Clostridium indolis 0.93,0
OTU_70 Eubacterium coprostanoligenes 0.95,2.339625021
OTU_77 Intestinimonas butyriciproducens 0.93,0.120146647
