OTU ,Prevalence_NT,Prevalence_T
OTU_2 Alistipes senegalensis  0.95,60,55.6
OTU_54 Oscillibacter ruminantium 0.94,70,22.2
OTU_200 Oscillibacter valericigenes 0.95,60,22.2
OTU_204 Eisenbergiella massiliensis 0.96,40,33.3
OTU_70 Eubacterium coprostanoligenes 0.95,70,11.1
OTU_100 Acetatifactor muris 0.95,70,11.1
OTU_69 Odoribacter splanchnicus 0.92,40,22.2
OTU_62 Clostridium asparagiforme 0.94,50,11.1
OTU_75 Millionella massiliensis 0.86,60,22.2
OTU_124 Clostridium viride  0.97,70,44.4
OTU_146 Oscillibacter ruminantium 0.93,80,44.4
OTU_191 Ihubacter massiliensis 0.97,50,22.2
OTU_282 Lachnoclostridium pacaense 0.97,50,0
OTU_109 Alistipes putredinis 0.96,60,22.2
OTU_470 Oscillibacter ruminantium 0.93,60,22.2
OTU_165 Anaerotaenia torta 0.96,60,11.1
OTU_134 Alistipes timonensis 1,60,22.2
OTU_184 Oscillibacter ruminantium 0.93,40,11.1
OTU_112 Desulfovibrio arcticus 0.91,70,22.2
