#OTUId,103.AVd_309,105.AVd_310,11.AVd_99,123.AVd_312,125.AVd_306,127.AVd_307,129.AVd_308,13.AVd_151,16.AVd_168,18.AVd_171,20.AVd_293,22.AVd_299,24.AVd_100,25.AVd_108,28.AVd_153,32.AVd_176,36.AVd_291,40.AVd_109,42.AVd_110,46.AVd_154,50.AVd_170,9.AVd_98,97.AVd_294
OTU_200,0.23862789,0.148210883,0,0.126310471,0.069577318,0.282885431,0.263678312,0,0,0,0,0,0.017322016,0,0,0,0,0,0,0,0,0,0
OTU_54,0.253542133,0.169383866,0,0.113679424,0.173943294,0.919377652,0.494396836,0,0,0,0,0,0,0.036166365,0,0,0,0,0,0,0,0,0
OTU_2,16.58463833,19.66970146,0,16.06669193,20.92537833,10.72607261,16.94133158,0.012017786,0,0,0,0,0.017322016,0,0,0,0.012503126,0,0,0.010166734,0,0.009823183,0
OTU_204,0.223713647,0.105864916,0,0,0.017394329,0.070721358,0.098879367,0,0,0,0,0.011817537,0,0,0,0,0,0,0,0,0,0,0
OTU_70,1.088739746,1.566800762,0,1.187318429,1.217603061,1.673738802,1.120632828,0,0,0,0,0,0,0,0,0,0.025006252,0,0,0.010166734,0,0,0
OTU_100,0.417598807,0.338767732,0,0.164203612,0.139154636,0.353606789,0.36255768,0,0,0,0,0,0,0,0,0,0.037509377,0,0,0,0,0.009823183,0
OTU_69,0.164056674,0.148210883,0,0,0,0.919377652,0.263678312,0,0,0,0,0,0,0,0,0,0,0,0,0.010166734,0,0,0
OTU_62,0.014914243,0.232902816,0,0.126310471,0.104365977,0.11786893,0.115359262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_75,0.23862789,0.275248783,0,0.202096754,0.347886589,0.400754361,0.280158207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_124,0.104399702,0.105864916,0,0.037893141,0.156548965,0.282885431,0.098879367,0,0,0,0,0,0,0,0,0,0.050012503,0,0,0,0,0,0
OTU_146,0.984340045,0.423459665,0,0.303145131,0.104365977,0.565770863,0.758075148,0,0,0,0.017340038,0.011817537,0,0.036166365,0,0,0.025006252,0,0,0,0,0,0
OTU_191,0.059656972,0,0,0.17683466,0.191337624,0.094295144,0.148319051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_282,0.134228188,0.021172983,0,0.050524188,0.034788659,0.047147572,0.082399473,0,0,0,0,0,0,0,0,0,0.012503126,0,0,0.010166734,0,0,0
OTU_109,2.535421327,2.074952361,0,2.084122774,2.365628805,1.131541726,1.763348715,0,0,0,0,0,0,0,0,0,0.012503126,0,0,0,0,0,0
OTU_470,0.134228188,0.084691933,0,0.050524188,0.017394329,0.070721358,0.065919578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_165,0.477255779,0.211729833,0,0.113679424,0.069577318,0.212164074,0.065919578,0,0,0,0,0,0.017322016,0,0,0,0,0,0,0,0,0,0
OTU_134,1.208053691,1.355070929,0,2.008336491,1.200208732,1.178689298,1.549110086,0,0,0,0,0,0.017322016,0,0,0,0,0,0,0,0,0.009823183,0
OTU_184,0.044742729,0,0,0.037893141,0,0.023573786,0.082399473,0,0,0,0.017340038,0,0,0,0.013982103,0.027586207,0.012503126,0,0,0,0,0,0
OTU_112,0.313199105,0.06351895,0,0.050524188,0.121760306,0.306459217,0.461437047,0,0,0,0,0,0,0,0,0,0.162540635,0,0,0,0,0,0
