Mean Donors,Mean Recipients 
0.292271642,0.049126651
1.152200659,0.073973921
3.089371549,3.158218295
0.642220064,0.010366914
0.635325759,2.336699974
0.340591167,0.247697627
0.347473613,0.24788921
0.015034078,0.421749466
0.236652864,0.064295487
0.099976386,0.058181077
0.011027642,0.023567591
0.442270756,0.074734314
0.132726367,0.046532655
0.259508635,0.419345301
0.040350987,0.026083054
0.018546616,0.012279091
0.041763961,0.402705182
0.041793354,0.023952304
0.007099365,0.276693568
0.224853956,0.067791318
